date,package,title
2022-05-09 ,primate,Tools and Methods for Primatological Data Science 
2022-05-09 ,quantdr,Dimension Reduction Techniques for Conditional Quantiles 
2022-05-09 ,randomLCA,Random Effects Latent Class Analysis 
2022-05-09 ,rateratio.test,Exact Rate Ratio Test 
2022-05-09 ,raters,A Modification of Fleiss' Kappa in Case of Nominal and Ordinal Variables 
2022-05-09 ,revdbayes,Ratio-of-Uniforms Sampling for Bayesian Extreme Value Analysis 
2022-05-09 ,rfigshare,An R Interface to 'figshare' 
2022-05-09 ,rgabriel,Gabriel Multiple Comparison Test and Plot the Confidence Interval on Barplot 
2022-05-09 ,rgdal,Bindings for the 'Geospatial' Data Abstraction Library 
2022-05-09 ,RIFS,Random Iterated Function System 
2022-05-09 ,rminqa,Derivative-Free Optimization in R using C++ 
2022-05-09 ,RMM,Revenue Management Modeling 
2022-05-09 ,robmixglm,Robust Generalized Linear Models (GLM) using Mixtures 
2022-05-09 ,Rphylopars,Phylogenetic Comparative Tools for Missing Data and Within-Species Variation 
2022-05-09 ,RRphylo,Phylogenetic Ridge Regression Methods for Comparative Studies 
2022-05-09 ,rxode2,Facilities for Simulating from ODE-Based Models 
2022-05-09 ,saeHB.twofold,Hierarchical Bayes Twofold Subarea Level Model SAE 
2022-05-09 ,scorecard,Credit Risk Scorecard 
2022-05-09 ,sentopics,Tools for Joint Sentiment and Topic Analysis of Textual Data 
2022-05-09 ,smcure,Fit Semiparametric Mixture Cure Models 
2022-05-09 ,spldv,Spatial Models for Limited Dependent Variables 
